Overall_Obligation_Period,ECO_Supplier_Reference,Obligation_Category,Measure_Type,Measure_Reference_Number,Purpose_of_Notification,Associated_Measure,Associated_Measure_Reference_Number,Date_of_Completed_Installation,Building_Number,Building_Name,Flat_Name/Number,Street_Name,Town,Post_Code,Unique_Property_Reference_Number_(UPRN),LSOA/DZ_Code,Low_Income,Adjoining_Installation,Adjoining_LSOA/DZ_Code,Rural_Area,Rural_Sub_Obligation,Affordable_Warmth_Group,AWG_Verification_Method,ESAS_Reference_Number,Private_Domestic_Premises,Tenure,Property_Type,Scoring_Method,Name_&_Version_Of_Scoring_Tool_Used,Appropriate_Methodology_ID,Annual_Carbon_Saving_(TCO2),Annual_Cost_Saving_(£),Lifetime_(yrs),In-Use_Factor,Carbon_Score_(TCO2),Cost_Score_(£),Primary_Eligibility,Evidence_of_Lifetime_for_Wall_Insulation,HTTC_Qualification,Boiler_or_ESH_Warranty,Adequate_Roof_or_Wall_Insulation,Pre_Main_Heating_Source_for_the_Property,Recommended_Measure,Pre_Installation_EPC_RRN,Post_Installation_EPC_RRN,Green_Deal_Advice_Report_URN,Brokerage,Brokerage_Lot_Number,Installed_In_Accordance_with_PAS?,Measure_Carried_Out_As_Part_Of_A_Green_Deal_Plan,Green_Deal_Plan_Reference_Number,Green_Deal_Provider_Registration_ID,Floor_Area,Percentage_of_Measure_Installed,HHCRO_Multiplier,Post_Main_Heating_Source_for_the_Property,Installer_Name,DWP_Reference_Number,Wall_Guarantee,HHCRO_Eligibility,LA_Criteria,LA_Declaration_Reference_Number,PAS_Certification_Number,Percentage_Of_Property_Treated
ECO 2,FFF03782443E,CERO,UFI,FFF1004268,Edited Notification,N/A,N/A,30/06/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.53,53,2,25,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,205.15,78,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF5257410,Edited Notification,N/A,N/A,03/09/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Double_park_home,DS,NES ECO Online 2.0,N/A,0.95,95,3,45,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,290.21,97,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF9510551,Edited Notification,N/A,N/A,05/04/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.38,38,2,18,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,175.27,71,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF3763694,Edited Notification,N/A,N/A,27/06/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.16,16,1,8,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,132.1,62,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF1604886,Edited Notification,N/A,N/A,04/08/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.59,58,2,28,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217.16,81,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF5858027,Edited Notification,N/A,N/A,07/04/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,3W_Flat_1,DS,NES ECO Online 2.0,N/A,0.01,2,1,1,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102.22,55,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF0111170,Edited Notification,N/A,N/A,09/05/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.44,44,2,21,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,187.29,74,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF4364311,Edited Notification,N/A,N/A,16/07/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,2W_Maisonette_3+,DS,NES ECO Online 2.0,N/A,0.86,86,3,41,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,272.35,93,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF8617453,Edited Notification,N/A,N/A,13/02/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bungalow,DS,NES ECO Online 2.0,N/A,0.29,29,1,14,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157.41,67,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF2870595,Edited Notification,N/A,N/A,25/04/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Det_3+,DS,NES ECO Online 2.0,N/A,0.71,71,3,34,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,242.47,87,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF7123737,Edited Notification,N/A,N/A,19/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.14,14,1,7,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127.54,61,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF1376879,Edited Notification,N/A,N/A,02/02/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.56,56,2,27,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212.6,80,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF5630021,Edited Notification,N/A,N/A,24/03/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.99,98,3,47,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297.66,99,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF9883162,Edited Notification,N/A,N/A,13/11/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Semi_3,DS,NES ECO Online 2.0,N/A,0.41,41,2,20,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,182.73,73,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF4136305,Edited Notification,N/A,N/A,28/12/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.84,84,3,40,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.79,92,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF8389446,Edited Notification,N/A,N/A,23/08/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.26,27,1,13,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.85,66,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF2642589,Edited Notification,N/A,N/A,02/10/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.69,69,3,33,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237.91,86,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF6895730,Edited Notification,N/A,N/A,16/12/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Det_4,DS,NES ECO Online 2.0,N/A,0.47,47,2,23,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,194.74,76,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF4736922,Edited Notification,N/A,N/A,31/01/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.9,90,3,43,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,279.8,95,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF8990064,Edited Notification,N/A,N/A,25/09/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.32,33,1,16,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,164.86,69,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF3243206,Edited Notification,N/A,N/A,06/11/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.75,75,3,36,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.93,88,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF7496348,Edited Notification,N/A,N/A,05/07/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.17,18,1,9,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.99,62,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF1749490,Edited Notification,N/A,N/A,12/08/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.6,60,2,29,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220.05,82,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF6002632,Edited Notification,N/A,N/A,14/04/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,3W_Flat_1,DS,NES ECO Online 2.0,N/A,0.03,3,1,2,1,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105.12,56,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF0255774,Edited Notification,N/A,N/A,18/05/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Flat,DS,NES ECO Online 2.0,N/A,0.45,45,2,22,5,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,190.18,75,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF4508916,Edited Notification,N/A,N/A,24/07/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,2W_Maisonette_3+,DS,NES ECO Online 2.0,N/A,0.88,87,3,42,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275.24,94,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF8762057,Edited Notification,N/A,N/A,19/11/2015,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,House,DS,NES ECO Online 2.0,N/A,0.14,14,1,7,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127.58,61,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF1378997,Edited Notification,N/A,N/A,03/02/2018,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Bung_Semi/End_1,DS,NES ECO Online 2.0,N/A,0.56,56,2,27,6,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,212.64,80,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF5632138,Edited Notification,N/A,N/A,24/03/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.99,98,3,47,9,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,297.71,99,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF9885280,Edited Notification,N/A,N/A,13/11/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Semi_3,DS,NES ECO Online 2.0,N/A,0.41,41,2,20,4,2,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,182.77,73,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF4138422,Edited Notification,N/A,N/A,28/12/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mobile Home,DS,NES ECO Online 2.0,N/A,0.84,84,3,40,8,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.83,92,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF8391564,Edited Notification,N/A,N/A,23/08/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,End-terrace_1,DS,NES ECO Online 2.0,N/A,0.26,27,1,13,3,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.89,66,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO 2,FFF03782443E,CERO,UFI,FFF2644706,Edited Notification,N/A,N/A,03/10/2016,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Maisonette,DS,NES ECO Online 2.0,N/A,0.69,69,3,33,7,3,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,237.96,86,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECO2t,FFF03782443E,CERO,UFI,FFF6897848,Edited Notification,N/A,N/A,02/06/2017,25,,,New Road,Dagenham,RM10 9NH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Owner Occupied,Mid-terrace_1,DS,NES ECO Online 2.0,N/A,0.12,12,1,6,2,1,Yes,Yes,N/A,N/A,N/A,Gas,CSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123.02,60,1,Gas/Coal,QA Tester,N/A,N/A,N/A,N/A,N/A,N/A,N/A
